,Experiment,split no,rec.factor.number,Recall,Precision,NormalizedDCG
0,exp00000,1,10,0.024094810797472138,0.014924181963288093,0.02344513066305564
1,exp00000,2,10,0.01741796783966864,0.011895321173671664,0.017915723864697183
2,exp00000,3,10,0.016033296308506816,0.012400635930047674,0.01822552672517718
3,exp00000,4,10,0.018671449155860085,0.012838915470494393,0.01923663515914495
4,exp00000,5,10,0.017483670537369565,0.010268562401263805,0.0178301592007351
5,exp00000,-1,10,0.01874023892777545,0.012465523387753124,0.01933063512256201
6,exp00001,1,20,0.03401801972896844,0.01995211492418198,0.0328613076012292
7,exp00001,2,20,0.02797374919744985,0.015860428231562262,0.026985416463451938
8,exp00001,3,20,0.029709055913350983,0.017408585055643896,0.027954508075574536
9,exp00001,4,20,0.02093789537983738,0.01387559808612439,0.02395747058103795
10,exp00001,5,20,0.022915079694861937,0.014533965244865717,0.02405787771943118
11,exp00001,-1,20,0.027110759982893716,0.016326138308475648,0.027163316088144963
